Candidate_ID,SQL_Skills,Python_Skills,Excel_Skills,PowerBi_Skills,Communication_Skills,ProblemSolving_Skills
1,8,7,9,8,8,8
2,7,6,8,9,9,7
3,9,8,8,7,8,9
4,6,7,7,8,8,7
5,9,9,8,8,9,9
6,8,7,9,9,8,8
7,7,8,7,6,7,8
8,8,6,9,8,9,8
9,7,7,8,7,8,7
10,9,10,9,8,9,9
11,8,8,7,8,7,8
12,7,9,8,9,8,8
13,8,7,8,7,8,9
14,6,6,7,7,8,7
15,9,8,9,8,9,9
16,8,7,9,9,8,8
17,7,8,7,8,7,8
18,9,8,8,9,9,8
19,8,9,8,8,8,9
20,9,9,9,9,9,9
21,7,7,8,7,8,7
22,8,8,9,8,9,8
23,9,7,8,9,8,9
24,7,8,7,8,8,8
25,8,9,8,7,9,8
26,8,7,8,7,8,8
27,7,8,7,8,7,9
28,9,7,9,8,9,8
29,6,6,7,7,7,7
30,9,9,8,9,9,9
31,8,8,8,7,8,8
32,7,9,8,9,8,7
33,9,8,9,8,9,9
34,8,7,8,7,8,8
35,7,6,7,8,7,7
36,9,9,9,8,9,9
37,8,7,8,8,8,7
38,7,8,7,9,8,8
39,9,8,9,8,9,9
40,10,9,9,9,9,10
41,8,7,8,7,8,8
42,9,8,9,8,9,8
43,7,7,8,7,7,8
44,8,9,8,9,8,9
45,9,8,9,8,9,9
46,7,8,7,8,8,7
47,8,9,8,9,9,8
48,9,7,9,8,8,9
49,6,7,7,7,8,7
50,8,8,9,9,9,8
51,8,8,9,8,8,9
52,7,7,8,8,7,8
53,9,8,9,7,9,9
54,8,9,8,9,8,8
55,7,6,7,7,8,7
56,9,9,9,8,9,9
57,8,7,8,8,8,8
58,7,8,7,9,8,7
59,9,9,8,9,9,9
60,10,9,9,10,9,10
61,8,7,8,7,8,8
62,9,8,9,8,9,8
63,7,7,8,7,7,8
64,8,9,9,8,9,9
65,7,8,7,8,8,7
66,9,8,8,9,8,9
67,8,9,9,8,9,8
68,7,7,8,7,8,7
69,9,8,9,9,9,9
70,10,9,10,9,10,9
71,8,7,8,8,8,8
72,7,8,8,7,8,7
73,9,8,9,8,9,9
74,8,9,9,9,9,8
75,7,7,8,8,8,7
76,8,8,9,8,8,8
77,7,8,7,8,7,8
78,9,8,9,8,9,9
79,8,9,8,9,8,8
80,10,9,9,10,10,9
81,7,7,8,7,8,7
82,9,8,9,8,9,9
83,8,7,8,8,8,8
84,7,6,7,7,7,7
85,9,9,9,8,9,9
86,8,8,8,9,8,8
87,7,8,7,8,8,7
88,9,8,9,9,9,9
89,8,7,8,7,8,8
90,10,9,10,9,10,10
91,7,7,8,8,7,8
92,8,9,8,9,8,9
93,9,8,9,8,9,8
94,8,9,9,9,9,9
95,7,6,7,8,7,7
96,9,8,9,9,9,9
97,8,7,8,8,8,8
98,7,8,7,7,8,7
99,9,9,9,8,9,9
100,10,9,10,10,10,10
