Candidate_ID,Aptitude_Score,Technical_Score,HR_Score,Final_Result
1,82,85,88,Selected
2,75,78,80,Selected
3,90,92,89,Selected
4,68,70,72,Hold
5,94,91,93,Selected
6,80,84,86,Selected
7,72,75,74,Hold
8,86,88,90,Selected
9,65,68,70,Rejected
10,95,96,94,Selected
11,78,80,79,Selected
12,84,86,85,Selected
13,81,83,84,Selected
14,60,65,68,Rejected
15,91,93,92,Selected
16,85,87,88,Selected
17,74,76,75,Hold
18,89,90,91,Selected
19,83,85,84,Selected
20,97,96,98,Selected
21,71,73,72,Hold
22,86,88,87,Selected
23,90,89,91,Selected
24,76,78,79,Selected
25,82,84,85,Selected
26,84,86,85,Selected
27,73,75,74,Hold
28,88,90,89,Selected
29,62,66,68,Rejected
30,95,94,96,Selected
31,81,82,84,Selected
32,77,79,78,Selected
33,91,92,90,Selected
34,83,84,85,Selected
35,70,72,73,Hold
36,96,95,97,Selected
37,80,82,81,Selected
38,75,77,78,Selected
39,89,91,90,Selected
40,98,97,99,Selected
41,82,83,84,Selected
42,87,89,88,Selected
43,72,74,73,Hold
44,90,92,91,Selected
45,92,91,93,Selected
46,74,76,75,Hold
47,85,87,86,Selected
48,88,89,90,Selected
49,63,67,69,Rejected
50,84,85,87,Selected
51,83,85,84,Selected
52,76,78,77,Selected
53,91,93,92,Selected
54,89,90,91,Selected
55,68,70,72,Hold
56,95,96,94,Selected
57,82,84,83,Selected
58,74,76,75,Hold
59,93,94,95,Selected
60,99,98,99,Selected
61,80,82,81,Selected
62,87,88,89,Selected
63,72,74,73,Hold
64,90,91,92,Selected
65,69,71,70,Rejected
66,88,89,90,Selected
67,92,93,91,Selected
68,75,77,76,Hold
69,94,95,93,Selected
70,98,99,97,Selected
71,81,83,82,Selected
72,73,75,74,Hold
73,89,90,88,Selected
74,91,92,93,Selected
75,77,79,78,Selected
76,84,86,85,Selected
77,75,77,76,Hold
78,90,91,92,Selected
79,82,84,83,Selected
80,99,98,99,Selected
81,71,73,72,Hold
82,88,89,90,Selected
83,80,81,82,Selected
84,66,68,69,Rejected
85,94,95,93,Selected
86,85,86,87,Selected
87,74,76,75,Hold
88,91,92,90,Selected
89,83,84,85,Selected
90,98,99,98,Selected
91,72,74,73,Hold
92,87,88,89,Selected
93,89,90,91,Selected
94,96,97,95,Selected
95,67,69,70,Rejected
96,92,93,94,Selected
97,84,85,86,Selected
98,76,78,77,Selected
99,95,96,97,Selected
100,100,99,100,Selected
